Goals,Shots,Passes,Shots on target,Shooting accuracy %,Big chances created
0.8235294117647058,0.5904761904761905,0.1750365675280351,0.7297297297297297,0.44,0.047619047619047616
0.23529411764705882,0.34285714285714286,0.4929302779132131,0.43243243243243246,0.44,0.23809523809523808
0.17647058823529413,0.4,0.33447098976109213,0.3783783783783784,0.33,0.19047619047619047
0.11764705882352941,0.18095238095238095,0.12676743052169673,0.2702702702702703,0.53,0.047619047619047616
0.11764705882352941,0.1619047619047619,0.08922476840565578,0.1891891891891892,0.41,0.09523809523809523
0.058823529411764705,0.20952380952380953,0.11555338859093126,0.24324324324324326,0.41,0.09523809523809523
0.058823529411764705,0.0380952380952381,0.03851779619697709,0.02702702702702703,0.25,0.047619047619047616
0.058823529411764705,0.0,0.2257435397367138,0.0,0.0,0.047619047619047616
0.058823529411764705,0.0,0.3417844953681131,0.0,0.0,0.047619047619047616
0.058823529411764705,0.0,0.33008288639687955,0.0,0.0,0.14285714285714285
