Goals,Shots,Passes,Shots on target,Shooting accuracy %,Big chances created
0.4117647058823529,0.42857142857142855,0.22379327157484155,0.43243243243243246,0.36,0.14285714285714285
0.4117647058823529,0.34285714285714286,0.1764992686494393,0.3783783783783784,0.39,0.14285714285714285
0.17647058823529413,0.1619047619047619,0.15797172111165286,0.24324324324324326,0.53,0.14285714285714285
0.11764705882352941,0.0761904761904762,0.1643100926377377,0.08108108108108109,0.38,0.047619047619047616
0.11764705882352941,0.0,0.4617259873232569,0.0,0.0,0.09523809523809523
0.058823529411764705,0.23809523809523808,0.3456850316918576,0.2972972972972973,0.44,0.23809523809523808
0.058823529411764705,0.22857142857142856,0.4490492442710873,0.1891891891891892,0.29,0.047619047619047616
0.058823529411764705,0.0,0.45538761579717213,0.0,0.0,0.047619047619047616
0.058823529411764705,0.0,0.23695758166747927,0.0,0.0,0.0
0.0,1.0,0.035592393954168695,0.5945945945945946,0.21,0.0
