Goals,Shots,Passes,Shots on target,Shooting accuracy %,Big chances created
0.4117647058823529,0.4857142857142857,0.4588005850804486,0.4594594594594595,0.33,0.19047619047619047
0.29411764705882354,0.3333333333333333,0.17893710385177963,0.4864864864864865,0.51,0.047619047619047616
0.23529411764705882,0.38095238095238093,0.1803998049731838,0.3783783783783784,0.35,0.14285714285714285
0.17647058823529413,0.3619047619047619,0.25597269624573377,0.40540540540540543,0.39,0.14285714285714285
0.17647058823529413,0.3333333333333333,0.12140419307654803,0.24324324324324326,0.26,0.0
0.17647058823529413,0.29523809523809524,0.3325207215992199,0.2972972972972973,0.35,0.09523809523809523
0.17647058823529413,0.14285714285714285,0.17601170160897123,0.1891891891891892,0.47,0.19047619047619047
0.11764705882352941,0.0,0.4568503169185763,0.0,0.0,0.047619047619047616
0.058823529411764705,0.02857142857142857,0.0078010726474890294,0.05405405405405406,0.67,0.0
0.058823529411764705,0.0,0.2998537298878596,0.0,0.0,0.3333333333333333
