Goals,Shots,Passes,Shots on target,Shooting accuracy %,Big chances created
0.8235294117647058,0.7047619047619048,0.27840078010726477,0.918918918918919,0.46,0.19047619047619047
0.47058823529411764,0.45714285714285713,0.21452949780594832,0.6486486486486487,0.5,0.23809523809523808
0.23529411764705882,0.17142857142857143,0.08873720136518772,0.24324324324324326,0.5,0.0
0.17647058823529413,0.3142857142857143,0.27791321306679667,0.40540540540540543,0.45,0.2857142857142857
0.17647058823529413,0.2571428571428571,0.39346660165772795,0.21621621621621623,0.3,0.09523809523809523
0.058823529411764705,0.3523809523809524,0.33008288639687955,0.3783783783783784,0.38,0.23809523809523808
0.058823529411764705,0.0,0.6601657727937591,0.0,0.0,0.0
0.058823529411764705,0.0,0.15699658703071673,0.0,0.0,0.0
0.0,0.3238095238095238,0.6465138956606533,0.21621621621621623,0.24,0.09523809523809523
0.0,0.19047619047619047,0.18283764017552415,0.13513513513513514,0.25,0.047619047619047616
