Goals,Shots,Passes,Shots on target,Shooting accuracy %,Big chances created
0.6470588235294118,0.7714285714285715,0.3096050706972209,0.8648648648648649,0.4,0.5714285714285714
0.23529411764705882,0.2857142857142857,0.2613359336908825,0.21621621621621623,0.27,0.42857142857142855
0.17647058823529413,0.4666666666666667,0.25646026328620186,0.4594594594594595,0.35,0.0
0.17647058823529413,0.0,0.44417357386640666,0.0,0.0,0.0
0.11764705882352941,0.37142857142857144,0.621160409556314,0.16216216216216217,0.15,0.047619047619047616
0.11764705882352941,0.17142857142857143,0.4870794734275963,0.1891891891891892,0.39,0.0
0.11764705882352941,0.11428571428571428,0.1106777181862506,0.10810810810810811,0.33,0.19047619047619047
0.11764705882352941,0.09523809523809523,0.4978059483178937,0.08108108108108109,0.3,0.047619047619047616
0.058823529411764705,0.1619047619047619,0.6343247196489518,0.16216216216216217,0.35,0.2857142857142857
0.058823529411764705,0.0,0.3729887859580692,0.0,0.0,0.0
