Goals,Shots,Passes,Shots on target,Shooting accuracy %,Big chances created
0.6470588235294118,0.6285714285714286,0.1862506094588006,0.8648648648648649,0.48,0.19047619047619047
0.35294117647058826,0.34285714285714286,0.3871282301316431,0.43243243243243246,0.44,0.047619047619047616
0.058823529411764705,0.21904761904761905,0.5333983422720624,0.1891891891891892,0.3,0.19047619047619047
0.058823529411764705,0.1523809523809524,0.3963920039005363,0.10810810810810811,0.25,0.047619047619047616
0.058823529411764705,0.14285714285714285,0.08386153096050707,0.13513513513513514,0.33,0.0
0.058823529411764705,0.0761904761904762,0.12432959531935642,0.05405405405405406,0.25,0.0
0.058823529411764705,0.02857142857142857,0.015602145294978059,0.02702702702702703,0.33,0.0
0.0,0.2761904761904762,0.515358361774744,0.21621621621621623,0.28,0.3333333333333333
0.0,0.17142857142857143,0.15894685519258897,0.16216216216216217,0.33,0.047619047619047616
0.0,0.10476190476190476,0.2813261823500731,0.05405405405405406,0.18,0.0
