Goals,Shots,Passes,Shots on target,Shooting accuracy %,Big chances created
0.29411764705882354,0.3142857142857143,0.09995124329595319,0.21621621621621623,0.24,0.3333333333333333
0.29411764705882354,0.2571428571428571,0.3885909312530473,0.2972972972972973,0.41,0.23809523809523808
0.23529411764705882,0.3238095238095238,0.4524622135543637,0.1891891891891892,0.21,0.2857142857142857
0.23529411764705882,0.29523809523809524,0.181862506094588,0.3783783783783784,0.45,0.047619047619047616
0.11764705882352941,0.0761904761904762,0.05997074597757192,0.10810810810810811,0.5,0.09523809523809523
0.11764705882352941,0.0,0.3666504144319844,0.0,0.0,0.047619047619047616
0.058823529411764705,0.1619047619047619,0.7025841053144808,0.16216216216216217,0.35,0.2857142857142857
0.058823529411764705,0.0,0.5104826913700634,0.0,0.0,0.38095238095238093
0.0,0.34285714285714286,0.2023403217942467,0.4594594594594595,0.47,0.09523809523809523
0.0,0.0380952380952381,0.051682106289614824,0.05405405405405406,0.5,0.0
