Goals,Shots,Passes,Shots on target,Shooting accuracy %,Big chances created
0.35294117647058826,0.3333333333333333,0.2691370063383715,0.35135135135135137,0.37,0.14285714285714285
0.17647058823529413,0.3523809523809524,0.38664066309117506,0.2702702702702703,0.27,0.09523809523809523
0.11764705882352941,0.22857142857142856,0.5446123842028279,0.1891891891891892,0.29,0.047619047619047616
0.11764705882352941,0.14285714285714285,0.045343734763529986,0.13513513513513514,0.33,0.0
0.11764705882352941,0.0,0.3885909312530473,0.0,0.0,0.047619047619047616
0.11764705882352941,0.0,0.12627986348122866,0.0,0.0,0.09523809523809523
0.058823529411764705,0.19047619047619047,0.2818137493905412,0.08108108108108109,0.15,0.047619047619047616
0.058823529411764705,0.19047619047619047,0.0901999024865919,0.32432432432432434,0.6,0.09523809523809523
0.058823529411764705,0.047619047619047616,0.11457825450999512,0.10810810810810811,0.8,0.09523809523809523
0.058823529411764705,0.0,0.3271574841540712,0.0,0.0,0.0
