Goals,Shots,Passes,Shots on target,Shooting accuracy %,Big chances created
0.6470588235294118,0.5238095238095238,0.1750365675280351,0.6216216216216216,0.42,0.047619047619047616
0.5294117647058824,0.5904761904761905,0.2740126767430522,0.6486486486486487,0.39,0.38095238095238093
0.17647058823529413,0.10476190476190476,0.18430034129692832,0.13513513513513514,0.45,0.14285714285714285
0.11764705882352941,0.0,0.5631399317406144,0.0,0.0,0.047619047619047616
0.058823529411764705,0.3047619047619048,0.3174061433447099,0.32432432432432434,0.38,0.23809523809523808
0.058823529411764705,0.26666666666666666,0.12676743052169673,0.21621621621621623,0.29,0.23809523809523808
0.058823529411764705,0.20952380952380953,0.04778156996587031,0.21621621621621623,0.36,0.19047619047619047
0.058823529411764705,0.18095238095238095,0.19161384690394928,0.24324324324324326,0.47,0.09523809523809523
0.058823529411764705,0.12380952380952381,0.2506094588005851,0.13513513513513514,0.38,0.0
0.058823529411764705,0.0,0.3915163334958557,0.0,0.0,0.0
