Goals,Shots,Passes,Shots on target,Shooting accuracy %,Big chances created
0.5882352941176471,0.42857142857142855,0.17601170160897123,0.6216216216216216,0.51,0.0
0.35294117647058826,0.38095238095238093,0.12237932715748416,0.32432432432432434,0.3,0.0
0.23529411764705882,0.2857142857142857,0.11116528522671867,0.2972972972972973,0.37,0.0
0.11764705882352941,0.17142857142857143,0.22184300341296928,0.16216216216216217,0.33,0.09523809523809523
0.058823529411764705,0.2857142857142857,0.2935153583617747,0.21621621621621623,0.27,0.42857142857142855
0.058823529411764705,0.08571428571428572,0.49195514383227695,0.02702702702702703,0.11,0.38095238095238093
0.058823529411764705,0.0761904761904762,0.045343734763529986,0.05405405405405406,0.25,0.047619047619047616
0.058823529411764705,0.0761904761904762,0.05314480741101901,0.02702702702702703,0.13,0.047619047619047616
0.058823529411764705,0.0,0.42759629449049247,0.0,0.0,0.19047619047619047
0.0,0.13333333333333333,0.34519746465138956,0.10810810810810811,0.29,0.09523809523809523
