Goals,Shots,Passes,Shots on target,Shooting accuracy %,Big chances created
0.4117647058823529,0.6761904761904762,0.21452949780594832,0.7297297297297297,0.38,0.09523809523809523
0.17647058823529413,0.22857142857142856,0.2393954168698196,0.21621621621621623,0.33,0.14285714285714285
0.17647058823529413,0.0,0.6499268649439298,0.0,0.0,0.047619047619047616
0.11764705882352941,0.2571428571428571,0.38810336421257924,0.24324324324324326,0.33,0.47619047619047616
0.11764705882352941,0.24761904761904763,0.33300828863968795,0.16216216216216217,0.23,0.14285714285714285
0.11764705882352941,0.23809523809523808,0.04875670404680644,0.2702702702702703,0.4,0.0
0.11764705882352941,0.09523809523809523,0.04290589956118966,0.05405405405405406,0.2,0.09523809523809523
0.11764705882352941,0.0,0.8249634324719649,0.0,0.0,0.047619047619047616
0.058823529411764705,0.23809523809523808,0.6796684544124817,0.1891891891891892,0.28,0.14285714285714285
0.058823529411764705,0.12380952380952381,0.07020965382740127,0.13513513513513514,0.38,0.09523809523809523
