Goals,Shots,Passes,Shots on target,Shooting accuracy %,Big chances created
1.0,0.5047619047619047,0.1409068746952706,0.8918918918918919,0.62,0.3333333333333333
0.4117647058823529,0.3047619047619048,0.2520721599219893,0.4594594594594595,0.53,0.2857142857142857
0.35294117647058826,0.5523809523809524,0.5641150658215505,0.43243243243243246,0.28,0.3333333333333333
0.23529411764705882,0.4,0.22233057045343735,0.4864864864864865,0.43,0.19047619047619047
0.17647058823529413,0.3904761904761905,0.5870307167235495,0.24324324324324326,0.22,0.23809523809523808
0.17647058823529413,0.14285714285714285,0.0492442710872745,0.21621621621621623,0.53,0.14285714285714285
0.17647058823529413,0.0,0.6684544124817162,0.0,0.0,0.19047619047619047
0.11764705882352941,0.1619047619047619,0.5221843003412969,0.08108108108108109,0.18,0.0
0.11764705882352941,0.0,0.6245733788395904,0.0,0.0,0.23809523809523808
0.058823529411764705,0.11428571428571428,0.08824963432471965,0.16216216216216217,0.5,0.14285714285714285
