Goals,Shots,Passes,Shots on target,Shooting accuracy %,Big chances created
0.35294117647058826,0.44761904761904764,0.32374451487079475,0.5675675675675675,0.45,0.0
0.29411764705882354,0.2,0.22525597269624573,0.2702702702702703,0.48,0.23809523809523808
0.23529411764705882,0.14285714285714285,0.4978059483178937,0.16216216216216217,0.4,0.09523809523809523
0.17647058823529413,0.19047619047619047,0.15065821550463188,0.24324324324324326,0.45,0.2857142857142857
0.17647058823529413,0.0,0.4085811799122379,0.0,0.0,0.047619047619047616
0.11764705882352941,0.0,0.32764505119453924,0.0,0.0,0.0
0.11764705882352941,0.0,0.30180399804973185,0.0,0.0,0.047619047619047616
0.058823529411764705,0.26666666666666666,0.09410043881033642,0.32432432432432434,0.43,0.047619047619047616
0.058823529411764705,0.21904761904761905,0.2379327157484154,0.1891891891891892,0.3,0.09523809523809523
0.058823529411764705,0.2,0.40516821062896147,0.21621621621621623,0.38,0.19047619047619047
