Goals,Shots,Passes,Shots on target,Shooting accuracy %,Big chances created
0.9411764705882353,0.6095238095238096,0.13213066796684544,0.6486486486486487,0.38,0.14285714285714285
0.6470588235294118,0.6476190476190476,0.42467089224768406,0.5675675675675675,0.31,0.38095238095238093
0.5294117647058824,0.580952380952381,0.16479765967820575,0.8378378378378378,0.51,0.09523809523809523
0.4117647058823529,0.6761904761904762,0.6392003900536324,0.5405405405405406,0.28,1.0
0.4117647058823529,0.4666666666666667,0.3656752803510483,0.5945945945945946,0.45,0.5238095238095238
0.29411764705882354,0.3142857142857143,0.4085811799122379,0.35135135135135137,0.39,0.2857142857142857
0.17647058823529413,0.29523809523809524,0.42759629449049247,0.2702702702702703,0.32,0.2857142857142857
0.11764705882352941,0.26666666666666666,0.6533398342272062,0.16216216216216217,0.21,0.14285714285714285
0.11764705882352941,0.13333333333333333,0.7937591418820088,0.16216216216216217,0.43,0.09523809523809523
0.11764705882352941,0.0,0.49146757679180886,0.0,0.0,0.0
