Goals,Shots,Passes,Shots on target,Shooting accuracy %,Big chances created
0.6470588235294118,0.5333333333333333,0.1901511457825451,0.6486486486486487,0.43,0.09523809523809523
0.4117647058823529,0.5428571428571428,0.2506094588005851,0.6216216216216216,0.4,0.42857142857142855
0.4117647058823529,0.2761904761904762,0.3169185763042418,0.40540540540540543,0.52,0.2857142857142857
0.23529411764705882,0.34285714285714286,0.20965382740126767,0.2702702702702703,0.28,0.09523809523809523
0.11764705882352941,0.20952380952380953,0.18235007313505608,0.21621621621621623,0.36,0.0
0.11764705882352941,0.12380952380952381,0.44368600682593856,0.08108108108108109,0.23,0.047619047619047616
0.11764705882352941,0.08571428571428572,0.2393954168698196,0.10810810810810811,0.44,0.047619047619047616
0.058823529411764705,0.009523809523809525,0.008288639687957094,0.02702702702702703,1.0,0.0
0.058823529411764705,0.0,0.44661140906874697,0.0,0.0,0.09523809523809523
0.0,0.06666666666666667,0.5085324232081911,0.05405405405405406,0.29,0.047619047619047616
